Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,DeAndre Liggins,SG,25,MIA,1,1,128.3,1,1,0,0,100,0,62.5,0,0,0,0,47.5,205,116,0,0,0,2.123
2,Tony Mitchell,SF,24,MIL,3,10,31,0.6,0.6,0,0.2,11,0,5.7,22.7,5.2,0,0,22.6,132,109,0,0,0.1,0.243
3,Kevin Durant,SF,25,OKC,69,2654,30.4,0.639,0.564,0.488,0.285,2.2,19.4,11.2,27.2,1.7,1.6,12.4,32.9,123,102,13.1,4,17.1,0.31
4,LeBron James,PF,29,MIA,66,2489,29.1,0.649,0.612,0.42,0.221,3.6,18.6,11.4,31.7,2.3,0.8,14.4,30.4,121,105,10.5,3,13.5,0.26
5,Kevin Love,PF,25,MIN,66,2408,27.9,0.594,0.528,0.449,0.35,8.6,29.8,18.8,20.9,1.1,1,9.4,28.7,122,104,10,3.2,13.2,0.262
6,Anthony Davis,C,20,NOP,61,2211,27.2,0.59,0.531,0.435,0.007,10.4,23.2,16.7,7.6,2,6.6,8.6,25.2,120,104,7.3,2.9,10.2,0.222
7,Chris Paul,PG,28,LAC,52,1811,26.1,0.572,0.501,0.401,0.211,1.9,11.5,6.9,50.3,3.6,0.2,12.7,23.9,124,102,7.4,2.7,10.2,0.27
8,DeMarcus Cousins,C,23,SAC,60,1935,25.8,0.553,0.49,0.532,0.007,11,30.5,20.7,17.2,2.4,3.2,15,32.3,107,101,3.5,3.2,6.7,0.166
9,Brook Lopez,C,25,BRK,17,533,25.5,0.629,0.563,0.502,0.004,8.7,14.1,11.4,6.1,0.9,4.7,9.1,27.1,121,107,1.9,0.5,2.4,0.216
10,Carmelo Anthony,PF,29,NYK,67,2601,24.9,0.562,0.505,0.326,0.253,5.8,19.5,12.4,15.6,1.6,1.5,9.2,32.7,113,108,7.5,2.1,9.6,0.177
